fold,train_start,test_start,test_end,n_train,n_test,f1_macro,accuracy,train_f1_macro,overfit_gap,precision_bearish,precision_neutral,precision_bullish,recall_bearish,recall_neutral,recall_bullish,f1_bearish,f1_neutral,f1_bullish,roc_auc_macro,pr_auc_macro,log_loss,brier_multiclass,baseline_f1_macro,baseline_accuracy,f1_lift_vs_baseline
0,2015-05-03,2018-05-03,2018-11-03,1096,184,0.2065,0.3098,0.5237,0.3171,0.32,0.0,0.3082,0.1176,0.0,0.8167,0.172,0.0,0.4475,0.5389,0.3922,1.0951,0.6645,0.1556,0.3043,0.051
1,2015-11-03,2018-11-03,2019-05-03,1096,181,0.2371,0.337,0.5644,0.3272,0.0,0.3571,0.3355,0.0,0.1724,0.8361,0.0,0.2326,0.4789,0.4781,0.3345,1.1012,0.6685,0.1618,0.3204,0.0754
2,2016-05-03,2019-05-03,2019-11-03,1095,184,0.29,0.3913,0.5533,0.2633,0.4091,0.0,0.3814,0.403,0.0,0.5921,0.406,0.0,0.4639,0.5527,0.4111,1.0858,0.6582,0.1215,0.2228,0.1685
3,2016-11-03,2019-11-03,2020-05-03,1095,182,0.3133,0.4505,0.482,0.1686,0.5625,0.0,0.4267,0.2769,0.0,0.8533,0.3711,0.0,0.5689,0.5027,0.3694,1.0936,0.6633,0.125,0.2308,0.1883
4,2017-05-03,2020-05-03,2020-11-03,1096,184,0.2705,0.3967,0.4869,0.2165,0.2857,0.0,0.4167,0.2162,0.0,0.8784,0.2462,0.0,0.5652,0.5798,0.3867,1.1009,0.6681,0.1894,0.3967,0.0811
5,2017-11-03,2020-11-03,2021-05-03,1096,181,0.2491,0.5967,0.5386,0.2894,0.0,0.0,0.5967,0.0,0.0,1.0,0.0,0.0,0.7474,0.5069,0.3524,1.0421,0.6282,0.0921,0.1602,0.1571
6,2018-05-03,2021-05-03,2021-11-03,1096,184,0.2038,0.4402,0.503,0.2992,0.0,0.0,0.4402,0.0,0.0,1.0,0.0,0.0,0.6113,0.5124,0.3594,1.0833,0.6559,0.1141,0.2065,0.0897
7,2018-11-03,2021-11-03,2022-05-03,1096,181,0.1701,0.3425,0.3388,0.1687,0.0,0.0,0.3425,0.0,0.0,1.0,0.0,0.0,0.5103,0.4767,0.3372,1.0968,0.6655,0.0948,0.1657,0.0753
8,2019-05-03,2022-05-03,2022-11-03,1096,184,0.1728,0.3261,0.3787,0.2059,0.2,0.0,0.3296,0.0143,0.0,0.9672,0.0267,0.0,0.4917,0.5222,0.3391,1.0961,0.6651,0.1491,0.288,0.0237
9,2019-11-03,2022-11-03,2023-05-03,1096,181,0.2105,0.326,0.4369,0.2264,0.2941,0.0,0.3313,0.102,0.0,0.871,0.1515,0.0,0.48,0.5191,0.4098,1.0955,0.6648,0.1859,0.3867,0.0246
10,2020-05-03,2023-05-03,2023-11-03,1095,184,0.2661,0.3696,0.4776,0.2115,0.0,0.5333,0.2128,0.0,0.4898,0.4444,0.0,0.5106,0.2878,0.4404,0.3081,1.0979,0.6662,0.2317,0.5326,0.0345
11,2020-11-03,2023-11-03,2024-05-03,1095,182,0.3475,0.3846,0.5463,0.1987,0.3448,0.3488,0.625,0.2222,0.7895,0.1875,0.2703,0.4839,0.2885,0.5441,0.4004,1.0986,0.6666,0.159,0.3132,0.1885
12,2021-05-03,2024-05-03,2024-11-03,1096,184,0.239,0.3804,0.4976,0.2586,1.0,0.2778,0.3879,0.0164,0.1,0.8767,0.0323,0.1471,0.5378,0.5376,0.37,1.0949,0.6642,0.1425,0.2717,0.0966
13,2021-11-03,2024-11-03,2025-05-03,1096,181,0.1672,0.2707,0.5426,0.3754,0.2584,0.0,1.0,1.0,0.0,0.0476,0.4107,0.0,0.0909,0.6239,0.4489,1.1157,0.6786,0.1897,0.3978,-0.0225
14,2022-05-03,2025-05-03,2025-11-03,1096,184,0.209,0.4565,0.4551,0.2461,0.0,0.4565,0.0,0.0,1.0,0.0,0.0,0.6269,0.0,0.5283,0.3837,1.0839,0.6569,0.209,0.4565,0.0
15,2022-11-03,2025-11-03,2026-01-16,1096,74,0.1925,0.2973,0.4013,0.2088,0.1667,0.0,0.3333,0.0909,0.0,0.7407,0.1176,0.0,0.4598,0.4133,0.3535,1.1053,0.671,0.1684,0.3378,0.0241
