fold,train_start,test_start,test_end,n_train,n_test,f1_macro,accuracy,train_f1_macro,overfit_gap,precision_bearish,precision_neutral,precision_bullish,recall_bearish,recall_neutral,recall_bullish,f1_bearish,f1_neutral,f1_bullish,roc_auc_macro,pr_auc_macro,log_loss,brier_multiclass,baseline_f1_macro,baseline_accuracy,f1_lift_vs_baseline
0,2015-05-03,2018-05-03,2018-11-03,1096,184,0.2423,0.2989,0.789,0.5467,0.4194,0.1111,0.2963,0.1912,0.0357,0.6667,0.2626,0.0541,0.4103,0.4992,0.3308,18.4139,1.2346,0.1556,0.3043,0.0868
1,2015-11-03,2018-11-03,2019-05-03,1096,181,0.2713,0.3039,0.7609,0.4895,0.3077,0.3231,0.2913,0.0645,0.3621,0.4918,0.1067,0.3415,0.3659,0.4694,0.3255,4.3764,1.0475,0.1618,0.3204,0.1095
2,2016-05-03,2019-05-03,2019-11-03,1095,184,0.3175,0.4022,0.772,0.4545,0.3889,0.4444,0.4516,0.8358,0.0976,0.1842,0.5308,0.16,0.2617,0.5425,0.3671,9.3921,1.0677,0.1215,0.2228,0.196
3,2016-11-03,2019-11-03,2020-05-03,1095,182,0.347,0.3791,0.7721,0.4251,0.3261,0.25,0.4674,0.2308,0.2619,0.5733,0.2703,0.2558,0.515,0.5457,0.3726,9.8292,0.8939,0.125,0.2308,0.222
4,2017-05-03,2020-05-03,2020-11-03,1096,184,0.1912,0.4022,0.6924,0.5012,0.0,0.0,0.4022,0.0,0.0,1.0,0.0,0.0,0.5736,0.5,0.3333,21.5478,1.1957,0.1894,0.3967,0.0019
5,2017-11-03,2020-11-03,2021-05-03,1096,181,0.4388,0.5249,0.7405,0.3018,0.9,0.2083,0.7172,0.2045,0.5172,0.6574,0.3333,0.297,0.686,0.6186,0.4342,9.9462,0.7632,0.0921,0.1602,0.3467
6,2018-05-03,2021-05-03,2021-11-03,1096,184,0.1854,0.2935,0.7383,0.5529,0.3019,0.0,0.4615,0.7385,0.0,0.0741,0.4286,0.0,0.1277,0.4137,0.3146,16.1361,1.1421,0.1141,0.2065,0.0713
7,2018-11-03,2021-11-03,2022-05-03,1096,181,0.3489,0.4586,0.7519,0.403,0.875,0.4,0.3947,0.236,0.0667,0.9677,0.3717,0.1143,0.5607,0.6272,0.4237,10.1251,0.8517,0.0948,0.1657,0.2541
8,2019-05-03,2022-05-03,2022-11-03,1096,184,0.2413,0.3533,0.7093,0.468,0.3857,0.0,0.25,0.7714,0.0,0.1803,0.5143,0.0,0.2095,0.4695,0.3226,5.8066,1.0217,0.1491,0.288,0.0922
9,2019-11-03,2022-11-03,2023-05-03,1096,181,0.2692,0.3315,0.6938,0.4246,0.2966,0.4242,1.0,0.8776,0.2,0.0484,0.4433,0.2718,0.0923,0.5049,0.3535,5.4732,1.0065,0.1859,0.3867,0.0832
10,2020-05-03,2023-05-03,2023-11-03,1095,184,0.244,0.2609,0.7246,0.4806,0.1176,0.4394,0.22,0.1951,0.2959,0.2444,0.1468,0.3537,0.2316,0.4424,0.3138,14.4817,1.1336,0.2317,0.5326,0.0123
11,2020-11-03,2023-11-03,2024-05-03,1095,182,0.2858,0.2857,0.7418,0.4561,0.2209,0.3559,0.3243,0.4222,0.3684,0.15,0.2901,0.3621,0.2051,0.4778,0.3211,13.742,1.2872,0.159,0.3132,0.1268
12,2021-05-03,2024-05-03,2024-11-03,1096,184,0.3169,0.3261,0.7275,0.4107,0.3371,0.2459,0.4412,0.4918,0.3,0.2055,0.4,0.2703,0.2804,0.5,0.3462,8.8608,0.9197,0.1425,0.2717,0.1744
13,2021-11-03,2024-11-03,2025-05-03,1096,181,0.2965,0.337,0.7161,0.4196,0.2917,0.4211,0.6111,0.913,0.1111,0.1746,0.4421,0.1758,0.2716,0.5815,0.3997,4.7303,0.9678,0.1897,0.3978,0.1068
14,2022-05-03,2025-05-03,2025-11-03,1096,184,0.1974,0.2283,0.7764,0.579,0.2,0.3095,0.25,0.5306,0.1548,0.0588,0.2905,0.2063,0.0952,0.418,0.3083,10.8889,0.9486,0.209,0.4565,-0.0116
15,2022-11-03,2025-11-03,2026-01-16,1096,74,0.2335,0.2297,0.6232,0.3897,0.1176,0.3125,0.3333,0.1818,0.2,0.2963,0.1429,0.2439,0.3137,0.5067,0.3602,8.7401,1.0278,0.1684,0.3378,0.0651
