fold,train_start,test_start,test_end,n_train,n_test,f1_macro,accuracy,train_f1_macro,overfit_gap,precision_bearish,precision_neutral,precision_bullish,recall_bearish,recall_neutral,recall_bullish,f1_bearish,f1_neutral,f1_bullish,roc_auc_macro,pr_auc_macro,log_loss,brier_multiclass,baseline_f1_macro,baseline_accuracy,f1_lift_vs_baseline
0,2015-05-03,2018-05-03,2018-11-03,1096,184,0.2764,0.2826,0.9991,0.7227,0.2679,0.2857,0.2907,0.2206,0.2143,0.4167,0.2419,0.2449,0.3425,0.4613,0.3115,1.2819,0.7914,0.1556,0.3043,0.1209
1,2015-11-03,2018-11-03,2019-05-03,1096,181,0.2809,0.3591,0.9971,0.7162,0.6364,0.2222,0.3636,0.1129,0.1034,0.8525,0.1918,0.1412,0.5098,0.576,0.4177,1.1714,0.7142,0.1618,0.3204,0.1191
2,2016-05-03,2019-05-03,2019-11-03,1095,184,0.3307,0.3587,0.9932,0.6625,0.4237,0.2414,0.3542,0.3731,0.1707,0.4474,0.3968,0.2,0.3953,0.5662,0.4032,1.1364,0.6891,0.1215,0.2228,0.2092
3,2016-11-03,2019-11-03,2020-05-03,1095,182,0.2693,0.3626,0.9811,0.7118,0.5714,0.0882,0.4104,0.1231,0.0714,0.7333,0.2025,0.0789,0.5263,0.4486,0.3301,1.195,0.7147,0.125,0.2308,0.1443
4,2017-05-03,2020-05-03,2020-11-03,1096,184,0.1513,0.2228,0.9808,0.8296,0.2139,0.2222,1.0,1.0,0.0274,0.027,0.3524,0.0488,0.0526,0.6217,0.4449,1.5566,0.9741,0.1894,0.3967,-0.0381
5,2017-11-03,2020-11-03,2021-05-03,1096,181,0.201,0.2818,0.98,0.7789,0.2,0.0769,0.5059,0.0227,0.2414,0.3981,0.0408,0.1167,0.4456,0.472,0.3579,1.1761,0.7296,0.0921,0.1602,0.109
6,2018-05-03,2021-05-03,2021-11-03,1096,184,0.286,0.375,0.9851,0.6991,0.3051,0.0556,0.4673,0.2769,0.0263,0.6173,0.2903,0.0357,0.5319,0.4874,0.3509,1.1892,0.7147,0.1141,0.2065,0.1719
7,2018-11-03,2021-11-03,2022-05-03,1096,181,0.3841,0.4199,0.9892,0.6051,0.4839,0.2093,0.4889,0.5056,0.3,0.3548,0.4945,0.2466,0.4112,0.5683,0.3905,1.1213,0.6769,0.0948,0.1657,0.2893
8,2019-05-03,2022-05-03,2022-11-03,1096,184,0.279,0.3587,0.9724,0.6934,0.4286,0.0,0.325,0.3857,0.0,0.6393,0.406,0.0,0.4309,0.5255,0.365,1.2841,0.7626,0.1491,0.288,0.1299
9,2019-11-03,2022-11-03,2023-05-03,1096,181,0.2347,0.2873,0.9568,0.7221,0.2823,1.0,0.2857,0.7143,0.0143,0.2581,0.4046,0.0282,0.2712,0.4881,0.3296,1.32,0.802,0.1859,0.3867,0.0487
10,2020-05-03,2023-05-03,2023-11-03,1095,184,0.273,0.2935,0.9848,0.7118,0.1633,0.4697,0.2174,0.1951,0.3163,0.3333,0.1778,0.378,0.2632,0.4506,0.3105,1.3348,0.7982,0.2317,0.5326,0.0413
11,2020-11-03,2023-11-03,2024-05-03,1095,182,0.3034,0.3352,0.9756,0.6721,0.2712,0.3363,0.7,0.3556,0.6667,0.0875,0.3077,0.4471,0.1556,0.5588,0.3895,1.2738,0.7563,0.159,0.3132,0.1444
12,2021-05-03,2024-05-03,2024-11-03,1096,184,0.3037,0.3315,0.9797,0.676,0.3021,0.25,0.4062,0.4754,0.12,0.3562,0.3694,0.1622,0.3796,0.4591,0.3379,1.2822,0.7669,0.1425,0.2717,0.1613
13,2021-11-03,2024-11-03,2025-05-03,1096,181,0.3737,0.3867,0.9778,0.6041,0.3396,0.4222,0.5,0.7826,0.2639,0.2381,0.4737,0.3248,0.3226,0.5733,0.436,1.1415,0.6884,0.1897,0.3978,0.184
14,2022-05-03,2025-05-03,2025-11-03,1096,184,0.3429,0.3478,0.9721,0.6292,0.2784,0.4894,0.35,0.551,0.2738,0.2745,0.3699,0.3511,0.3077,0.511,0.3667,1.1797,0.7255,0.209,0.4565,0.1339
15,2022-11-03,2025-11-03,2026-01-16,1096,74,0.3296,0.3649,0.9807,0.6511,0.25,0.5,0.3542,0.1364,0.28,0.6296,0.1765,0.359,0.4533,0.569,0.4291,1.1213,0.6952,0.1684,0.3378,0.1612
