fold,train_start,test_start,test_end,n_train,n_test,f1_macro,accuracy,train_f1_macro,overfit_gap,precision_bearish,precision_neutral,precision_bullish,recall_bearish,recall_neutral,recall_bullish,f1_bearish,f1_neutral,f1_bullish,roc_auc_macro,pr_auc_macro,log_loss,brier_multiclass,baseline_f1_macro,baseline_accuracy,f1_lift_vs_baseline
0,2015-05-03,2018-05-03,2018-11-03,1096,184,0.248,0.3152,0.5629,0.3149,0.3553,0.0,0.287,0.3971,0.0,0.5167,0.375,0.0,0.369,0.4478,0.3318,2.8826,0.8572,0.1556,0.3043,0.0925
1,2015-11-03,2018-11-03,2019-05-03,1096,181,0.365,0.3812,0.5888,0.2237,0.3939,0.3789,0.3774,0.2097,0.6207,0.3279,0.2737,0.4706,0.3509,0.5487,0.3748,1.5949,0.7314,0.1618,0.3204,0.2033
2,2016-05-03,2019-05-03,2019-11-03,1095,184,0.2538,0.3424,0.5795,0.3256,0.3214,0.0,0.3879,0.2687,0.0,0.5921,0.2927,0.0,0.4688,0.5056,0.3366,1.1532,0.7131,0.1215,0.2228,0.1323
3,2016-11-03,2019-11-03,2020-05-03,1095,182,0.3103,0.3187,0.5547,0.2444,0.4146,0.1765,0.3973,0.2615,0.2857,0.3867,0.3208,0.2182,0.3919,0.4994,0.3462,1.3674,0.7158,0.125,0.2308,0.1853
4,2017-05-03,2020-05-03,2020-11-03,1096,184,0.2428,0.25,0.5726,0.3298,0.1429,0.4211,0.3833,0.4054,0.1096,0.3108,0.2113,0.1739,0.3433,0.4643,0.3431,1.5432,0.8211,0.1894,0.3967,0.0535
5,2017-11-03,2020-11-03,2021-05-03,1096,181,0.3052,0.4199,0.5784,0.2732,0.125,0.6,0.5804,0.1818,0.1034,0.6019,0.1481,0.1765,0.5909,0.4424,0.3227,2.0288,0.6669,0.0921,0.1602,0.2131
6,2018-05-03,2021-05-03,2021-11-03,1096,184,0.2677,0.3804,0.5746,0.3069,0.2692,0.1875,0.4225,0.1077,0.0789,0.7407,0.1538,0.1111,0.5381,0.4575,0.3287,2.5096,0.7414,0.1141,0.2065,0.1536
7,2018-11-03,2021-11-03,2022-05-03,1096,181,0.3129,0.4088,0.571,0.258,0.5833,0.25,0.3488,0.3146,0.0333,0.7258,0.4088,0.0588,0.4712,0.5147,0.377,1.1621,0.6999,0.0948,0.1657,0.2181
8,2019-05-03,2022-05-03,2022-11-03,1096,184,0.3374,0.3587,0.5653,0.2279,0.3708,0.36,0.3429,0.4714,0.1698,0.3934,0.4151,0.2308,0.3664,0.5157,0.3498,1.5504,0.7228,0.1491,0.288,0.1883
9,2019-11-03,2022-11-03,2023-05-03,1096,181,0.3465,0.3425,0.5866,0.2401,0.2564,0.6098,0.2742,0.4082,0.3571,0.2742,0.315,0.4505,0.2742,0.498,0.3701,1.1785,0.7179,0.1859,0.3867,0.1606
10,2020-05-03,2023-05-03,2023-11-03,1095,184,0.3112,0.3859,0.5863,0.2751,0.25,0.5556,0.122,0.2683,0.5612,0.1111,0.2588,0.5584,0.1163,0.4564,0.3193,1.4307,0.7413,0.2317,0.5326,0.0795
11,2020-11-03,2023-11-03,2024-05-03,1095,182,0.3283,0.3297,0.6086,0.2803,0.2714,0.2927,0.5667,0.4222,0.4211,0.2125,0.3304,0.3453,0.3091,0.5245,0.3751,1.6114,0.7472,0.159,0.3132,0.1693
12,2021-05-03,2024-05-03,2024-11-03,1096,184,0.4156,0.4293,0.5854,0.1699,0.4074,0.3333,0.5246,0.541,0.28,0.4384,0.4648,0.3043,0.4776,0.5448,0.3819,1.1604,0.6887,0.1425,0.2717,0.2731
13,2021-11-03,2024-11-03,2025-05-03,1096,181,0.2798,0.326,0.5798,0.3001,0.1528,0.5,0.4343,0.2391,0.0694,0.6825,0.1864,0.122,0.5309,0.4911,0.338,1.4141,0.7432,0.1897,0.3978,0.09
14,2022-05-03,2025-05-03,2025-11-03,1096,184,0.3731,0.413,0.5622,0.1891,0.3793,0.451,0.3333,0.449,0.5476,0.1569,0.4112,0.4946,0.2133,0.4971,0.3441,1.1882,0.7121,0.209,0.4565,0.1641
15,2022-11-03,2025-11-03,2026-01-16,1096,74,0.2196,0.3108,0.5419,0.3223,0.2222,0.1667,0.339,0.0909,0.04,0.7407,0.129,0.0645,0.4651,0.4077,0.3148,3.1277,0.8024,0.1684,0.3378,0.0512
