fold,train_start,test_start,test_end,n_train,n_test,f1_macro,accuracy,train_f1_macro,overfit_gap,precision_bearish,precision_neutral,precision_bullish,recall_bearish,recall_neutral,recall_bullish,f1_bearish,f1_neutral,f1_bullish,roc_auc_macro,pr_auc_macro,log_loss,brier_multiclass,baseline_f1_macro,baseline_accuracy,f1_lift_vs_baseline
0,2015-05-03,2018-05-03,2018-11-03,1096,184,0.1848,0.337,0.8632,0.6784,0.6667,0.0,0.3315,0.0294,0.0,1.0,0.0563,0.0,0.4979,0.4946,0.3445,1.3131,0.8144,0.1556,0.3043,0.0292
1,2015-11-03,2018-11-03,2019-05-03,1096,181,0.2961,0.3812,0.8521,0.5559,0.5,0.5161,0.3514,0.0161,0.2759,0.8525,0.0312,0.3596,0.4976,0.597,0.4251,1.141,0.6941,0.1618,0.3204,0.1344
2,2016-05-03,2019-05-03,2019-11-03,1095,184,0.3104,0.4239,0.8548,0.5445,0.425,0.0,0.4219,0.7612,0.0,0.3553,0.5455,0.0,0.3857,0.5158,0.4019,1.0829,0.6528,0.1215,0.2228,0.1889
3,2016-11-03,2019-11-03,2020-05-03,1095,182,0.3608,0.3846,0.8523,0.4916,0.3594,0.4091,0.3958,0.3538,0.2143,0.5067,0.3566,0.2812,0.4444,0.5016,0.3695,1.1075,0.6709,0.125,0.2308,0.2358
4,2017-05-03,2020-05-03,2020-11-03,1096,184,0.1529,0.2065,0.8538,0.701,0.1824,0.0,0.5,0.8378,0.0,0.0946,0.2995,0.0,0.1591,0.4454,0.3281,1.433,0.9002,0.1894,0.3967,-0.0365
5,2017-11-03,2020-11-03,2021-05-03,1096,181,0.3657,0.6409,0.862,0.4964,0.8182,0.0,0.6294,0.2045,0.0,0.9907,0.3273,0.0,0.7698,0.5535,0.4273,0.9727,0.5754,0.0921,0.1602,0.2736
6,2018-05-03,2021-05-03,2021-11-03,1096,184,0.3225,0.462,0.8671,0.5446,0.3636,0.5455,0.463,0.0615,0.1579,0.9259,0.1053,0.2449,0.6173,0.5213,0.3715,1.1164,0.6689,0.1141,0.2065,0.2084
7,2018-11-03,2021-11-03,2022-05-03,1096,181,0.2938,0.3757,0.8495,0.5557,0.875,0.1154,0.3669,0.1573,0.1,0.8226,0.2667,0.1071,0.5075,0.5777,0.4467,1.1318,0.6822,0.0948,0.1657,0.199
8,2019-05-03,2022-05-03,2022-11-03,1096,184,0.2417,0.3533,0.8486,0.6069,0.5789,0.0,0.3273,0.1571,0.0,0.8852,0.2472,0.0,0.4779,0.5023,0.3595,1.1911,0.7177,0.1491,0.288,0.0926
9,2019-11-03,2022-11-03,2023-05-03,1096,181,0.2381,0.2928,0.8667,0.6286,0.2966,0.0,0.3,0.7143,0.0,0.2903,0.4192,0.0,0.2951,0.529,0.3426,1.2027,0.7405,0.1859,0.3867,0.0522
10,2020-05-03,2023-05-03,2023-11-03,1095,184,0.2818,0.2989,0.8692,0.5874,0.2727,0.5385,0.256,0.2195,0.1429,0.7111,0.2432,0.2258,0.3765,0.4939,0.3379,1.2085,0.7432,0.2317,0.5326,0.0502
11,2020-11-03,2023-11-03,2024-05-03,1095,182,0.304,0.3462,0.8806,0.5766,0.32,0.3116,0.6316,0.1778,0.7544,0.15,0.2286,0.441,0.2424,0.5561,0.4083,1.1447,0.6961,0.159,0.3132,0.145
12,2021-05-03,2024-05-03,2024-11-03,1096,184,0.3104,0.375,0.889,0.5786,0.3562,0.1538,0.4184,0.4262,0.04,0.5616,0.3881,0.0635,0.4795,0.4783,0.3422,1.1532,0.6998,0.1425,0.2717,0.1679
13,2021-11-03,2024-11-03,2025-05-03,1096,181,0.2296,0.2928,0.898,0.6684,0.2697,0.3462,1.0,0.8913,0.125,0.0476,0.4141,0.1837,0.0909,0.6205,0.4589,1.1553,0.7089,0.1897,0.3978,0.0399
14,2022-05-03,2025-05-03,2025-11-03,1096,184,0.2726,0.4293,0.9061,0.6335,0.3333,0.4459,0.0,0.1837,0.8333,0.0,0.2368,0.5809,0.0,0.4795,0.34,1.1037,0.668,0.209,0.4565,0.0636
15,2022-11-03,2025-11-03,2026-01-16,1096,74,0.1979,0.2297,0.8657,0.6678,0.1556,0.0,0.4,0.3182,0.0,0.3704,0.209,0.0,0.3846,0.4081,0.3084,1.197,0.7286,0.1684,0.3378,0.0295
