fold,train_start,test_start,test_end,n_train,n_test,f1_macro,accuracy,train_f1_macro,overfit_gap,precision_bearish,precision_neutral,precision_bullish,recall_bearish,recall_neutral,recall_bullish,f1_bearish,f1_neutral,f1_bullish,roc_auc_macro,pr_auc_macro,log_loss,brier_multiclass,baseline_f1_macro,baseline_accuracy,f1_lift_vs_baseline
0,2015-05-03,2018-05-03,2018-11-03,1096,184,0.1639,0.3261,0.6268,0.4629,0.0,0.0,0.3261,0.0,0.0,1.0,0.0,0.0,0.4918,0.5569,0.3725,1.2337,0.7424,0.1556,0.3043,0.0084
1,2015-11-03,2018-11-03,2019-05-03,1096,181,0.2244,0.3646,0.6663,0.4419,0.0,0.4545,0.3588,0.0,0.0862,1.0,0.0,0.1449,0.5281,0.4541,0.346,1.1632,0.7072,0.1618,0.3204,0.0626
2,2016-05-03,2019-05-03,2019-11-03,1095,184,0.3137,0.4185,0.6487,0.3349,0.383,0.0,0.4556,0.5373,0.0,0.5395,0.4472,0.0,0.494,0.5659,0.4071,1.058,0.6387,0.1215,0.2228,0.1922
3,2016-11-03,2019-11-03,2020-05-03,1095,182,0.2966,0.4615,0.6265,0.3299,0.6,0.0,0.4444,0.1846,0.0,0.96,0.2824,0.0,0.6076,0.5177,0.3958,1.0721,0.6485,0.125,0.2308,0.1716
4,2017-05-03,2020-05-03,2020-11-03,1096,184,0.1596,0.2011,0.6197,0.4601,0.1677,0.0,0.4348,0.7297,0.0,0.1351,0.2727,0.0,0.2062,0.5532,0.4337,1.2442,0.7578,0.1894,0.3967,-0.0297
5,2017-11-03,2020-11-03,2021-05-03,1096,181,0.2623,0.3646,0.6613,0.3989,0.2727,0.0,0.7105,0.8864,0.0,0.25,0.4171,0.0,0.3699,0.5585,0.4067,1.045,0.6384,0.0921,0.1602,0.1703
6,2018-05-03,2021-05-03,2021-11-03,1096,184,0.2296,0.4185,0.6558,0.4262,0.2105,0.0,0.4424,0.0615,0.0,0.9012,0.0952,0.0,0.5935,0.4993,0.3769,1.1157,0.676,0.1141,0.2065,0.1155
7,2018-11-03,2021-11-03,2022-05-03,1096,181,0.2162,0.3536,0.6467,0.4304,1.0,0.1429,0.3471,0.0449,0.0333,0.9516,0.086,0.0541,0.5086,0.6142,0.4829,1.0534,0.6394,0.0948,0.1657,0.1214
8,2019-05-03,2022-05-03,2022-11-03,1096,184,0.1766,0.337,0.5607,0.3841,0.5,0.0,0.3352,0.0143,0.0,1.0,0.0278,0.0,0.5021,0.5296,0.4065,1.1177,0.6802,0.1491,0.288,0.0275
9,2019-11-03,2022-11-03,2023-05-03,1096,181,0.2578,0.3149,0.6149,0.357,0.3063,0.0,0.3286,0.6939,0.0,0.371,0.425,0.0,0.3485,0.5362,0.4109,1.1174,0.6782,0.1859,0.3867,0.0719
10,2020-05-03,2023-05-03,2023-11-03,1095,184,0.2677,0.2826,0.6618,0.394,0.3846,0.4706,0.2411,0.2439,0.0816,0.7556,0.2985,0.1391,0.3656,0.4362,0.3298,1.1682,0.7105,0.2317,0.5326,0.0361
11,2020-11-03,2023-11-03,2024-05-03,1095,182,0.2456,0.3077,0.6571,0.4115,0.375,0.2933,0.0,0.2667,0.7719,0.0,0.3117,0.4251,0.0,0.5416,0.4054,1.2254,0.7371,0.159,0.3132,0.0866
12,2021-05-03,2024-05-03,2024-11-03,1096,184,0.2507,0.4239,0.6521,0.4014,0.6667,0.0,0.4114,0.0984,0.0,0.9863,0.1714,0.0,0.5806,0.5382,0.382,1.0894,0.659,0.1425,0.2717,0.1082
13,2021-11-03,2024-11-03,2025-05-03,1096,181,0.2326,0.3094,0.6319,0.3992,0.269,0.0,1.0,1.0,0.0,0.1587,0.424,0.0,0.274,0.5747,0.4104,1.1913,0.7355,0.1897,0.3978,0.0429
14,2022-05-03,2025-05-03,2025-11-03,1096,184,0.209,0.4565,0.621,0.4121,0.0,0.4565,0.0,0.0,1.0,0.0,0.0,0.6269,0.0,0.584,0.4078,1.0645,0.6443,0.209,0.4565,0.0
15,2022-11-03,2025-11-03,2026-01-16,1096,74,0.2025,0.2703,0.5628,0.3603,0.2381,0.0,0.283,0.2273,0.0,0.5556,0.2326,0.0,0.375,0.4941,0.3611,1.1491,0.6976,0.1684,0.3378,0.0342
