fold,train_start,test_start,test_end,n_train,n_test,f1_macro,accuracy,train_f1_macro,overfit_gap,precision_bearish,precision_neutral,precision_bullish,recall_bearish,recall_neutral,recall_bullish,f1_bearish,f1_neutral,f1_bullish,roc_auc_macro,pr_auc_macro,log_loss,brier_multiclass,baseline_f1_macro,baseline_accuracy,f1_lift_vs_baseline
0,2015-05-03,2018-05-03,2018-11-03,1096,184,0.2702,0.337,0.2048,-0.0653,0.5714,0.3158,0.3333,0.1176,0.8571,0.1,0.1951,0.4615,0.1538,0.519,0.3448,23.8985,1.3261,0.1556,0.3043,0.1146
1,2015-11-03,2018-11-03,2019-05-03,1096,181,0.359,0.3867,0.1532,-0.2058,0.4429,0.25,0.3855,0.5,0.1207,0.5246,0.4697,0.1628,0.4444,0.537,0.3557,22.1041,1.2265,0.1618,0.3204,0.1972
2,2016-05-03,2019-05-03,2019-11-03,1095,184,0.2598,0.2772,0.1468,-0.113,0.2449,0.2195,0.3191,0.1791,0.2195,0.3947,0.2069,0.2195,0.3529,0.4435,0.3136,26.0533,1.4457,0.1215,0.2228,0.1383
3,2016-11-03,2019-11-03,2020-05-03,1095,182,0.3529,0.3791,0.2861,-0.0668,0.3226,0.4091,0.4082,0.3077,0.2143,0.5333,0.315,0.2812,0.4624,0.5102,0.3418,22.3788,1.2418,0.125,0.2308,0.2279
4,2017-05-03,2020-05-03,2020-11-03,1096,184,0.3101,0.3261,0.2138,-0.0963,0.2027,0.3143,0.4533,0.4054,0.1507,0.4595,0.2703,0.2037,0.4564,0.5042,0.3372,24.2903,1.3478,0.1894,0.3967,0.1208
5,2017-11-03,2020-11-03,2021-05-03,1096,181,0.3298,0.4088,0.2069,-0.1229,0.2368,0.1569,0.6196,0.2045,0.2759,0.5278,0.2195,0.2,0.57,0.5057,0.3366,21.3076,1.1823,0.0921,0.1602,0.2378
6,2018-05-03,2021-05-03,2021-11-03,1096,184,0.3427,0.375,0.279,-0.0637,0.3279,0.3077,0.4227,0.3077,0.2105,0.5062,0.3175,0.25,0.4607,0.5021,0.3349,22.5273,1.25,0.1141,0.2065,0.2286
7,2018-11-03,2021-11-03,2022-05-03,1096,181,0.3053,0.3481,0.2446,-0.0608,0.4746,0.1212,0.3483,0.3146,0.1333,0.5,0.3784,0.127,0.4106,0.4886,0.3305,23.4981,1.3039,0.0948,0.1657,0.2105
8,2019-05-03,2022-05-03,2022-11-03,1096,184,0.3213,0.3587,0.1664,-0.1549,0.4848,0.1538,0.3261,0.4571,0.0755,0.4918,0.4706,0.1013,0.3922,0.509,0.345,23.115,1.2826,0.1491,0.288,0.1723
9,2019-11-03,2022-11-03,2023-05-03,1096,181,0.3974,0.3978,0.2742,-0.1233,0.3559,0.4717,0.3768,0.4286,0.3571,0.4194,0.3889,0.4065,0.3969,0.5506,0.3604,21.7058,1.2044,0.1859,0.3867,0.2115
10,2020-05-03,2023-05-03,2023-11-03,1095,184,0.4042,0.4402,0.2416,-0.1626,0.2941,0.6447,0.3,0.4878,0.5,0.2667,0.367,0.5632,0.2824,0.5672,0.3685,20.1766,1.1196,0.2317,0.5326,0.1725
11,2020-11-03,2023-11-03,2024-05-03,1095,182,0.2523,0.3077,0.2021,-0.0502,0.1884,0.25,0.396,0.2889,0.0526,0.5,0.2281,0.087,0.442,0.4605,0.3193,24.9533,1.3846,0.159,0.3132,0.0933
12,2021-05-03,2024-05-03,2024-11-03,1096,184,0.2755,0.2826,0.1982,-0.0773,0.3016,0.1923,0.3333,0.3115,0.2,0.3151,0.3065,0.1961,0.3239,0.4568,0.3183,25.8574,1.4348,0.1425,0.2717,0.133
13,2021-11-03,2024-11-03,2025-05-03,1096,181,0.3066,0.3204,0.1864,-0.1202,0.2619,0.3265,0.3444,0.2391,0.2222,0.4921,0.25,0.2645,0.4052,0.4868,0.3281,24.4938,1.3591,0.1897,0.3978,0.1168
14,2022-05-03,2025-05-03,2025-11-03,1096,184,0.4145,0.4239,0.2538,-0.1607,0.3433,0.5441,0.3673,0.4694,0.4405,0.3529,0.3966,0.4868,0.36,0.5656,0.3688,20.7643,1.1522,0.209,0.4565,0.2055
15,2022-11-03,2025-11-03,2026-01-16,1096,74,0.3909,0.4054,0.2239,-0.167,0.3571,0.3714,0.48,0.2273,0.52,0.4444,0.2778,0.4333,0.4615,0.5488,0.3607,21.4314,1.1892,0.1684,0.3378,0.2225
