fold,train_start,test_start,test_end,n_train,n_test,f1_macro,accuracy,train_f1_macro,overfit_gap,precision_bearish,precision_neutral,precision_bullish,recall_bearish,recall_neutral,recall_bullish,f1_bearish,f1_neutral,f1_bullish,roc_auc_macro,pr_auc_macro,log_loss,brier_multiclass,baseline_f1_macro,baseline_accuracy,f1_lift_vs_baseline
0,2015-05-03,2018-05-03,2018-11-03,1096,184,0.2143,0.3098,0.6574,0.443,0.2571,0.0,0.331,0.1324,0.0,0.8,0.1748,0.0,0.4683,,,,,0.1556,0.3043,0.0588
1,2015-11-03,2018-11-03,2019-05-03,1096,181,0.2829,0.3204,0.6098,0.3269,0.2143,0.3521,0.3125,0.0484,0.431,0.4918,0.0789,0.3876,0.3822,,,,,0.1618,0.3204,0.1211
2,2016-05-03,2019-05-03,2019-11-03,1095,184,0.4085,0.4783,0.6778,0.2693,0.4488,0.3529,0.625,0.8507,0.1463,0.3289,0.5876,0.2069,0.431,,,,,0.1215,0.2228,0.287
3,2016-11-03,2019-11-03,2020-05-03,1095,182,0.2103,0.2473,0.6204,0.41,0.5,0.2273,0.2727,0.0462,0.7143,0.16,0.0845,0.3448,0.2017,,,,,0.125,0.2308,0.0853
4,2017-05-03,2020-05-03,2020-11-03,1096,184,0.1302,0.212,0.6242,0.4941,0.2033,0.0,1.0,1.0,0.0,0.027,0.3379,0.0,0.0526,,,,,0.1894,0.3967,-0.0592
5,2017-11-03,2020-11-03,2021-05-03,1096,181,0.1114,0.1768,0.6415,0.5301,0.0,0.1629,1.0,0.0,1.0,0.0278,0.0,0.2802,0.0541,,,,,0.0921,0.1602,0.0194
6,2018-05-03,2021-05-03,2021-11-03,1096,184,0.307,0.4185,0.6482,0.3412,0.3077,0.2353,0.4745,0.0615,0.2105,0.8025,0.1026,0.2222,0.5963,,,,,0.1141,0.2065,0.1929
7,2018-11-03,2021-11-03,2022-05-03,1096,181,0.1754,0.3094,0.6544,0.479,0.0,0.1,0.3254,0.0,0.0333,0.8871,0.0,0.05,0.4762,,,,,0.0948,0.1657,0.0806
8,2019-05-03,2022-05-03,2022-11-03,1096,184,0.2325,0.3152,0.5416,0.309,0.3307,0.0,0.2807,0.6,0.0,0.2623,0.4264,0.0,0.2712,,,,,0.1491,0.288,0.0834
9,2019-11-03,2022-11-03,2023-05-03,1096,181,0.142,0.2707,0.6151,0.473,0.2707,0.0,0.0,1.0,0.0,0.0,0.4261,0.0,0.0,,,,,0.1859,0.3867,-0.0439
10,2020-05-03,2023-05-03,2023-11-03,1095,184,0.2539,0.5217,0.6431,0.3892,0.0,0.5341,0.25,0.0,0.9592,0.0444,0.0,0.6861,0.0755,,,,,0.2317,0.5326,0.0222
11,2020-11-03,2023-11-03,2024-05-03,1095,182,0.4079,0.4176,0.6376,0.2297,0.4815,0.3488,0.4783,0.2889,0.5263,0.4125,0.3611,0.4196,0.443,,,,,0.159,0.3132,0.2489
12,2021-05-03,2024-05-03,2024-11-03,1096,184,0.372,0.3967,0.6107,0.2387,0.3407,0.375,0.4783,0.5082,0.18,0.4521,0.4079,0.2432,0.4648,,,,,0.1425,0.2717,0.2295
13,2021-11-03,2024-11-03,2025-05-03,1096,181,0.2977,0.3536,0.5803,0.2826,0.2933,0.3333,0.6786,0.9565,0.0139,0.3016,0.449,0.0267,0.4176,,,,,0.1897,0.3978,0.108
14,2022-05-03,2025-05-03,2025-11-03,1096,184,0.2837,0.375,0.6292,0.3455,0.3636,0.448,0.1875,0.0816,0.6667,0.1765,0.1333,0.5359,0.1818,,,,,0.209,0.4565,0.0747
15,2022-11-03,2025-11-03,2026-01-16,1096,74,0.18,0.3649,0.5302,0.3502,0.0,0.0,0.3699,0.0,0.0,1.0,0.0,0.0,0.54,,,,,0.1684,0.3378,0.0116
