fold,train_start,test_start,test_end,n_train,n_test,f1_macro,accuracy,train_f1_macro,overfit_gap,precision_bearish,precision_neutral,precision_bullish,recall_bearish,recall_neutral,recall_bullish,f1_bearish,f1_neutral,f1_bullish,roc_auc_macro,pr_auc_macro,log_loss,brier_multiclass,baseline_f1_macro,baseline_accuracy,f1_lift_vs_baseline
0,2015-05-03,2018-05-03,2018-11-03,1096,184,0.1941,0.3424,0.9718,0.7776,1.0,0.0,0.3315,0.0441,0.0,1.0,0.0845,0.0,0.4979,0.6018,0.444,1.4779,0.8957,0.1556,0.3043,0.0386
1,2015-11-03,2018-11-03,2019-05-03,1096,181,0.2797,0.3591,0.9718,0.6921,1.0,0.4324,0.3357,0.0161,0.2759,0.7869,0.0317,0.3368,0.4706,0.4879,0.3579,1.4719,0.8346,0.1618,0.3204,0.1179
2,2016-05-03,2019-05-03,2019-11-03,1095,184,0.2941,0.4076,0.963,0.6688,0.416,0.0,0.3898,0.7761,0.0,0.3026,0.5417,0.0,0.3407,0.4768,0.3145,1.2682,0.7586,0.1215,0.2228,0.1727
3,2016-11-03,2019-11-03,2020-05-03,1095,182,0.3203,0.3242,0.9607,0.6404,0.4706,0.1642,0.375,0.3692,0.2619,0.32,0.4138,0.2018,0.3453,0.4992,0.3454,1.2195,0.7436,0.125,0.2308,0.1953
4,2017-05-03,2020-05-03,2020-11-03,1096,184,0.1485,0.2065,0.9606,0.8121,0.1882,0.0,0.4286,0.8649,0.0,0.0811,0.3092,0.0,0.1364,0.4978,0.3676,1.5821,0.9367,0.1894,0.3967,-0.0409
5,2017-11-03,2020-11-03,2021-05-03,1096,181,0.3346,0.4033,0.9534,0.6189,0.2258,0.1667,0.6386,0.3182,0.2069,0.4907,0.2642,0.1846,0.555,0.5388,0.3738,1.0534,0.6421,0.0921,0.1602,0.2425
6,2018-05-03,2021-05-03,2021-11-03,1096,184,0.2648,0.3587,0.957,0.6921,0.2333,0.0769,0.4595,0.2154,0.0263,0.6296,0.224,0.0392,0.5312,0.4345,0.3024,1.469,0.8227,0.1141,0.2065,0.1507
7,2018-11-03,2021-11-03,2022-05-03,1096,181,0.3461,0.4254,0.9627,0.6166,0.7917,0.1667,0.406,0.2135,0.1333,0.871,0.3363,0.1481,0.5538,0.6017,0.4688,1.1098,0.67,0.0948,0.1657,0.2513
8,2019-05-03,2022-05-03,2022-11-03,1096,184,0.2792,0.3587,0.945,0.6658,0.3889,0.0,0.3298,0.5,0.0,0.5082,0.4375,0.0,0.4,0.5263,0.3642,1.2053,0.7385,0.1491,0.288,0.1301
9,2019-11-03,2022-11-03,2023-05-03,1096,181,0.2988,0.3315,0.9528,0.654,0.3301,0.4545,0.3134,0.6939,0.0714,0.3387,0.4474,0.1235,0.3256,0.549,0.3886,1.2866,0.7941,0.1859,0.3867,0.1129
10,2020-05-03,2023-05-03,2023-11-03,1095,184,0.2295,0.2391,0.9605,0.7309,0.1923,0.625,0.2069,0.2439,0.102,0.5333,0.2151,0.1754,0.2981,0.5086,0.3517,1.3869,0.8588,0.2317,0.5326,-0.0021
11,2020-11-03,2023-11-03,2024-05-03,1095,182,0.2612,0.3077,0.9576,0.6964,0.3173,0.2949,0.0,0.7333,0.4035,0.0,0.443,0.3407,0.0,0.5483,0.3967,1.5107,0.8526,0.159,0.3132,0.1022
12,2021-05-03,2024-05-03,2024-11-03,1096,184,0.3152,0.3587,0.9574,0.6423,0.2917,0.2273,0.4444,0.3443,0.1,0.5479,0.3158,0.1389,0.4908,0.5022,0.3428,1.2495,0.7472,0.1425,0.2717,0.1727
13,2021-11-03,2024-11-03,2025-05-03,1096,181,0.2706,0.326,0.9576,0.687,0.2966,0.4231,0.5,0.9348,0.1528,0.0794,0.4503,0.2245,0.137,0.5734,0.4088,1.5106,0.8757,0.1897,0.3978,0.0809
14,2022-05-03,2025-05-03,2025-11-03,1096,184,0.3187,0.4076,0.9415,0.6228,0.2,0.4615,0.4211,0.1429,0.7143,0.1569,0.1667,0.5607,0.2286,0.4716,0.3562,1.1936,0.7045,0.209,0.4565,0.1097
15,2022-11-03,2025-11-03,2026-01-16,1096,74,0.2088,0.3108,0.9534,0.7446,0.2727,0.0,0.3175,0.1364,0.0,0.7407,0.1818,0.0,0.4444,0.4579,0.3569,1.5761,0.8764,0.1684,0.3378,0.0404
