fold,train_start,test_start,test_end,n_train,n_test,f1_macro,accuracy,train_f1_macro,overfit_gap,precision_bearish,precision_neutral,precision_bullish,recall_bearish,recall_neutral,recall_bullish,f1_bearish,f1_neutral,f1_bullish,roc_auc_macro,pr_auc_macro,log_loss,brier_multiclass,baseline_f1_macro,baseline_accuracy,f1_lift_vs_baseline
0,2015-05-03,2018-05-03,2018-11-03,1096,184,0.1732,0.288,0.4099,0.2366,0.0,0.6667,0.2753,0.0,0.0482,0.98,0.0,0.0899,0.4298,0.6574,0.4815,1.0981,0.6663,0.2072,0.4511,-0.034
1,2015-11-03,2018-11-03,2019-05-03,1096,181,0.3248,0.4917,0.4179,0.0931,0.5,0.5064,0.3684,0.0638,0.9634,0.1346,0.1132,0.6639,0.1972,0.6833,0.4784,1.0583,0.6388,0.2079,0.453,0.1169
2,2016-05-03,2019-05-03,2019-11-03,1095,184,0.3957,0.4239,0.4813,0.0856,0.3438,0.4107,0.4583,0.1897,0.434,0.6027,0.2444,0.422,0.5207,0.6156,0.4326,1.0833,0.6564,0.1491,0.288,0.2466
3,2016-11-03,2019-11-03,2020-05-03,1095,182,0.2845,0.3516,0.4337,0.1492,0.3333,0.38,0.3165,0.0175,0.5507,0.4464,0.0333,0.4497,0.3704,0.5081,0.3549,1.098,0.6663,0.1833,0.3791,0.1012
4,2017-05-03,2020-05-03,2020-11-03,1096,184,0.3634,0.4511,0.4335,0.0701,0.1429,0.5,0.4412,0.0488,0.6711,0.4478,0.0727,0.573,0.4444,0.5757,0.4162,1.0849,0.6572,0.1949,0.413,0.1685
5,2017-11-03,2020-11-03,2021-05-03,1096,181,0.3199,0.4254,0.4526,0.1327,0.358,0.0,0.48,0.5088,0.0,0.6154,0.4203,0.0,0.5393,0.5673,0.3831,1.0864,0.6587,0.1351,0.2541,0.1848
6,2018-05-03,2021-05-03,2021-11-03,1096,184,0.2253,0.3967,0.3893,0.164,0.0,0.2727,0.407,0.0,0.0682,0.9333,0.0,0.1091,0.5668,0.5388,0.3694,1.0893,0.6605,0.1287,0.2391,0.0966
7,2018-11-03,2021-11-03,2022-05-03,1096,181,0.1835,0.2928,0.3955,0.2121,0.0,0.2353,0.3025,0.0,0.0625,0.8909,0.0,0.0988,0.4516,0.4311,0.2977,1.1088,0.6734,0.1741,0.3536,0.0093
8,2019-05-03,2022-05-03,2022-11-03,1096,184,0.294,0.3859,0.3966,0.1027,1.0,0.4044,0.3043,0.0323,0.7971,0.2642,0.0625,0.5366,0.2828,0.522,0.3829,1.097,0.6655,0.1818,0.375,0.1122
9,2019-11-03,2022-11-03,2023-05-03,1096,181,0.2604,0.4475,0.4059,0.1455,0.0,0.4518,0.4,0.0,0.9375,0.1091,0.0,0.6098,0.1714,0.5254,0.3738,1.0832,0.6562,0.2043,0.442,0.0561
10,2020-05-03,2023-05-03,2023-11-03,1095,184,0.2437,0.5761,0.3307,0.087,0.0,0.5824,0.0,0.0,0.9815,0.0,0.0,0.731,0.0,0.4742,0.3426,1.0571,0.6381,0.2466,0.587,-0.0029
11,2020-11-03,2023-11-03,2024-05-03,1095,182,0.3025,0.4121,0.4269,0.1244,0.3333,0.4357,0.0,0.3415,0.8243,0.0,0.3373,0.5701,0.0,0.5036,0.3587,1.089,0.6605,0.1927,0.4066,0.1098
12,2021-05-03,2024-05-03,2024-11-03,1096,184,0.1922,0.3696,0.4332,0.241,0.0,0.3785,0.1429,0.0,0.971,0.0179,0.0,0.5447,0.0317,0.5056,0.3655,1.0967,0.6653,0.1818,0.375,0.0103
13,2021-11-03,2024-11-03,2025-05-03,1096,181,0.245,0.3204,0.322,0.077,0.2963,0.3333,0.7,0.9412,0.0405,0.125,0.4507,0.0723,0.2121,0.5611,0.3892,1.0985,0.6667,0.1935,0.4088,0.0516
14,2022-05-03,2025-05-03,2025-11-03,1096,184,0.2621,0.4783,0.3048,0.0427,0.5,0.4855,0.3333,0.0217,0.9438,0.0612,0.0417,0.6412,0.1034,0.5368,0.378,1.0815,0.6552,0.2173,0.4837,0.0448
15,2022-11-03,2025-11-03,2026-01-16,1096,74,0.3354,0.4595,0.2937,-0.0417,0.0,0.4906,0.381,0.0,0.8966,0.3636,0.0,0.6341,0.3721,0.5656,0.4472,1.0855,0.6574,0.1877,0.3919,0.1477
