fold,train_start,test_start,test_end,n_train,n_test,f1_macro,accuracy,train_f1_macro,overfit_gap,precision_bearish,precision_neutral,precision_bullish,recall_bearish,recall_neutral,recall_bullish,f1_bearish,f1_neutral,f1_bullish,roc_auc_macro,pr_auc_macro,log_loss,brier_multiclass,baseline_f1_macro,baseline_accuracy,f1_lift_vs_baseline
0,2015-05-03,2018-05-03,2018-11-03,1096,184,0.4191,0.4783,0.6067,0.1876,0.3626,0.6203,0.4286,0.6471,0.5904,0.12,0.4648,0.6049,0.1875,0.6036,0.4072,5.0093,0.7319,0.2072,0.4511,0.2118
1,2015-11-03,2018-11-03,2019-05-03,1096,181,0.4048,0.453,0.6067,0.2018,0.4583,0.5094,0.3333,0.234,0.6585,0.3269,0.3099,0.5745,0.3301,0.5779,0.3866,10.296,0.8623,0.2079,0.453,0.197
2,2016-05-03,2019-05-03,2019-11-03,1095,184,0.3776,0.4022,0.6017,0.2242,0.3739,0.4483,0.45,0.7414,0.2453,0.2466,0.4971,0.3171,0.3186,0.5862,0.3915,8.6575,0.9278,0.1491,0.288,0.2285
3,2016-11-03,2019-11-03,2020-05-03,1095,182,0.3075,0.3187,0.6022,0.2947,0.2778,0.3614,0.2889,0.2632,0.4348,0.2321,0.2703,0.3947,0.2574,0.4921,0.3382,11.1439,0.954,0.1833,0.3791,0.1242
4,2017-05-03,2020-05-03,2020-11-03,1096,184,0.186,0.2283,0.5632,0.3772,0.2039,1.0,0.3,0.7561,0.0263,0.1343,0.3212,0.0513,0.1856,0.4858,0.3383,7.9531,1.0538,0.1949,0.413,-0.0088
5,2017-11-03,2020-11-03,2021-05-03,1096,181,0.2625,0.326,0.617,0.3545,0.3333,0.236,0.4157,0.0175,0.4565,0.4744,0.0333,0.3111,0.4431,0.4896,0.3348,16.6932,1.0714,0.1351,0.2541,0.1274
6,2018-05-03,2021-05-03,2021-11-03,1096,184,0.2635,0.4076,0.6751,0.4116,0.3548,0.0,0.4183,0.1692,0.0,0.8533,0.2292,0.0,0.5614,0.5142,0.34,17.643,1.0971,0.1287,0.2391,0.1349
7,2018-11-03,2021-11-03,2022-05-03,1096,181,0.2756,0.3149,0.633,0.3574,0.2308,0.4615,0.3023,0.0968,0.1875,0.7091,0.1364,0.2667,0.4239,0.469,0.3329,9.9053,0.913,0.1741,0.3536,0.1015
8,2019-05-03,2022-05-03,2022-11-03,1096,184,0.3549,0.413,0.6042,0.2493,0.3871,0.4122,0.4545,0.1935,0.7826,0.1887,0.2581,0.54,0.2667,0.5333,0.3563,8.2897,0.9086,0.1818,0.375,0.1731
9,2019-11-03,2022-11-03,2023-05-03,1096,181,0.2888,0.3039,0.5461,0.2573,0.2712,0.3846,0.2045,0.3478,0.375,0.1636,0.3048,0.3797,0.1818,0.4603,0.3198,16.2295,1.2203,0.2043,0.442,0.0844
10,2020-05-03,2023-05-03,2023-11-03,1095,184,0.4081,0.4565,0.577,0.1689,0.2698,0.6962,0.2857,0.4722,0.5093,0.3,0.3434,0.5882,0.2927,0.59,0.4051,6.9185,0.7461,0.2466,0.587,0.1615
11,2020-11-03,2023-11-03,2024-05-03,1095,182,0.1941,0.2418,0.5499,0.3558,0.209,0.3333,0.0,0.6829,0.2162,0.0,0.32,0.2623,0.0,0.4767,0.3339,6.0623,1.079,0.1927,0.4066,0.0014
12,2021-05-03,2024-05-03,2024-11-03,1096,184,0.3229,0.3859,0.5065,0.1836,0.5,0.4458,0.3299,0.0339,0.5362,0.5714,0.0635,0.4868,0.4183,0.5142,0.3462,15.4798,1.0458,0.1818,0.375,0.1411
13,2021-11-03,2024-11-03,2025-05-03,1096,181,0.2622,0.3149,0.5028,0.2405,0.2966,0.3125,0.45,0.8431,0.0676,0.1607,0.4388,0.1111,0.2368,0.5298,0.352,10.1998,1.0242,0.1935,0.4088,0.0688
14,2022-05-03,2025-05-03,2025-11-03,1096,184,0.22,0.2772,0.4316,0.2116,0.1,0.4146,0.2481,0.0217,0.191,0.6735,0.0357,0.2615,0.3626,0.4678,0.3214,10.1748,0.8437,0.2173,0.4837,0.0026
15,2022-11-03,2025-11-03,2026-01-16,1096,74,0.3534,0.3649,0.5436,0.1901,0.25,0.4,0.4211,0.2174,0.4828,0.3636,0.2326,0.4375,0.3902,0.5428,0.3769,8.1245,0.909,0.1877,0.3919,0.1657
