fold,train_start,test_start,test_end,n_train,n_test,f1_macro,accuracy,train_f1_macro,overfit_gap,precision_bearish,precision_neutral,precision_bullish,recall_bearish,recall_neutral,recall_bullish,f1_bearish,f1_neutral,f1_bullish,roc_auc_macro,pr_auc_macro,log_loss,brier_multiclass,baseline_f1_macro,baseline_accuracy,f1_lift_vs_baseline
0,2015-05-03,2018-05-03,2018-11-03,1096,184,0.3519,0.3641,0.9826,0.6307,0.4444,0.7368,0.2868,0.3137,0.1687,0.74,0.3678,0.2745,0.4134,0.5873,0.4229,1.2947,0.7789,0.2072,0.4511,0.1447
1,2015-11-03,2018-11-03,2019-05-03,1096,181,0.3764,0.4807,0.9598,0.5834,0.1429,0.5545,0.411,0.0213,0.6829,0.5769,0.037,0.612,0.48,0.573,0.397,1.0968,0.6587,0.2079,0.453,0.1685
2,2016-05-03,2019-05-03,2019-11-03,1095,184,0.3036,0.3207,0.9826,0.679,0.3333,0.2667,0.3289,0.4483,0.1509,0.3425,0.3824,0.1928,0.3356,0.5239,0.3587,1.1612,0.714,0.1491,0.288,0.1545
3,2016-11-03,2019-11-03,2020-05-03,1095,182,0.3673,0.4066,0.9726,0.6053,0.3214,0.4423,0.38,0.1579,0.6667,0.3393,0.2118,0.5318,0.3585,0.5674,0.4132,1.1179,0.6716,0.1833,0.3791,0.1841
4,2017-05-03,2020-05-03,2020-11-03,1096,184,0.2957,0.3315,0.9843,0.6887,0.2667,0.3333,0.3814,0.4878,0.0526,0.5522,0.3448,0.0909,0.4512,0.511,0.3589,1.2735,0.7612,0.1949,0.413,0.1008
5,2017-11-03,2020-11-03,2021-05-03,1096,181,0.2832,0.2983,0.9935,0.7103,0.2826,0.2838,0.4667,0.4561,0.4565,0.0897,0.349,0.35,0.1505,0.5425,0.3644,1.2572,0.7533,0.1351,0.2541,0.1481
6,2018-05-03,2021-05-03,2021-11-03,1096,184,0.3794,0.4239,0.9887,0.6093,0.3956,0.5455,0.439,0.5538,0.1364,0.48,0.4615,0.2182,0.4586,0.5621,0.4052,1.1067,0.6763,0.1287,0.2391,0.2508
7,2018-11-03,2021-11-03,2022-05-03,1096,181,0.3582,0.3867,0.9899,0.6317,0.4194,0.5333,0.3462,0.4194,0.125,0.6545,0.4194,0.2025,0.4528,0.5569,0.3924,1.1619,0.7055,0.1741,0.3536,0.1841
8,2019-05-03,2022-05-03,2022-11-03,1096,184,0.3392,0.3967,0.9626,0.6235,0.3889,0.4359,0.3061,0.1129,0.7391,0.283,0.175,0.5484,0.2941,0.5305,0.3675,1.1459,0.696,0.1818,0.375,0.1574
9,2019-11-03,2022-11-03,2023-05-03,1096,181,0.3955,0.4033,0.9535,0.5579,0.3099,0.4928,0.4146,0.4783,0.425,0.3091,0.3761,0.4564,0.3542,0.5597,0.4108,1.1105,0.6708,0.2043,0.442,0.1912
10,2020-05-03,2023-05-03,2023-11-03,1095,184,0.2997,0.3152,0.9605,0.6607,0.2581,0.75,0.232,0.2222,0.1944,0.725,0.2388,0.3088,0.3515,0.5495,0.3951,1.2913,0.7792,0.2466,0.587,0.0531
11,2020-11-03,2023-11-03,2024-05-03,1095,182,0.2312,0.2692,0.9577,0.7265,0.1848,0.3659,0.25,0.4146,0.4054,0.0299,0.2556,0.3846,0.0533,0.4849,0.3348,1.248,0.7631,0.1927,0.4066,0.0385
12,2021-05-03,2024-05-03,2024-11-03,1096,184,0.3131,0.3696,0.9478,0.6348,0.7143,0.3833,0.2982,0.0847,0.6667,0.3036,0.1515,0.4868,0.3009,0.4998,0.3626,1.1681,0.7118,0.1818,0.375,0.1312
13,2021-11-03,2024-11-03,2025-05-03,1096,181,0.3525,0.3591,0.9733,0.6208,0.2973,0.3659,0.52,0.4314,0.4054,0.2321,0.352,0.3846,0.321,0.5425,0.3853,1.1244,0.6849,0.1935,0.4088,0.1591
14,2022-05-03,2025-05-03,2025-11-03,1096,184,0.3196,0.3587,0.9685,0.6489,0.25,0.4588,0.4,0.4565,0.4382,0.1224,0.3231,0.4483,0.1875,0.5006,0.3487,1.1529,0.7084,0.2173,0.4837,0.1023
15,2022-11-03,2025-11-03,2026-01-16,1096,74,0.3072,0.3649,0.9166,0.6094,0.5,0.4286,0.2973,0.0435,0.5172,0.5,0.08,0.4688,0.3729,0.5279,0.3987,1.1733,0.7144,0.1877,0.3919,0.1195
