fold,train_start,test_start,test_end,n_train,n_test,f1_macro,accuracy,train_f1_macro,overfit_gap,precision_bearish,precision_neutral,precision_bullish,recall_bearish,recall_neutral,recall_bullish,f1_bearish,f1_neutral,f1_bullish,roc_auc_macro,pr_auc_macro,log_loss,brier_multiclass,baseline_f1_macro,baseline_accuracy,f1_lift_vs_baseline
0,2015-05-03,2018-05-03,2018-11-03,1096,184,0.2758,0.2989,0.4999,0.2241,0.3235,0.7778,0.2055,0.6471,0.0843,0.3,0.4314,0.1522,0.2439,0.5686,0.4124,1.4338,0.7514,0.2072,0.4511,0.0686
1,2015-11-03,2018-11-03,2019-05-03,1096,181,0.3974,0.5249,0.5214,0.124,0.6667,0.5738,0.4107,0.0426,0.8537,0.4423,0.08,0.6863,0.4259,0.6578,0.4495,1.2288,0.6197,0.2079,0.453,0.1895
2,2016-05-03,2019-05-03,2019-11-03,1095,184,0.401,0.413,0.5326,0.1317,0.3659,0.3731,0.4737,0.2586,0.4717,0.4932,0.303,0.4167,0.4832,0.5811,0.4108,1.1202,0.6734,0.1491,0.288,0.2519
3,2016-11-03,2019-11-03,2020-05-03,1095,182,0.3312,0.3626,0.5271,0.1959,0.2143,0.45,0.3243,0.1053,0.5217,0.4286,0.1412,0.4832,0.3692,0.5346,0.3621,1.1605,0.6992,0.1833,0.3791,0.1479
4,2017-05-03,2020-05-03,2020-11-03,1096,184,0.2709,0.288,0.5133,0.2424,0.1746,0.3875,0.2683,0.2683,0.4079,0.1642,0.2115,0.3974,0.2037,0.5046,0.3341,1.1607,0.7045,0.1949,0.413,0.076
5,2017-11-03,2020-11-03,2021-05-03,1096,181,0.3426,0.4365,0.4973,0.1546,0.3947,0.3333,0.458,0.2632,0.087,0.7692,0.3158,0.1379,0.5742,0.5311,0.3626,1.1329,0.6812,0.1351,0.2541,0.2075
6,2018-05-03,2021-05-03,2021-11-03,1096,184,0.3337,0.3859,0.4727,0.1389,0.359,0.2667,0.4261,0.2154,0.1818,0.6533,0.2692,0.2162,0.5158,0.5369,0.3669,1.1222,0.6763,0.1287,0.2391,0.2051
7,2018-11-03,2021-11-03,2022-05-03,1096,181,0.2899,0.3315,0.4929,0.203,0.3714,0.375,0.301,0.4194,0.0469,0.5636,0.3939,0.0833,0.3924,0.5231,0.3457,1.1943,0.7169,0.1741,0.3536,0.1157
8,2019-05-03,2022-05-03,2022-11-03,1096,184,0.3146,0.3207,0.4801,0.1654,0.2909,0.3457,0.3125,0.2581,0.4058,0.283,0.2735,0.3733,0.297,0.5075,0.3435,1.1502,0.6964,0.1818,0.375,0.1328
9,2019-11-03,2022-11-03,2023-05-03,1096,181,0.2714,0.3867,0.4697,0.1984,0.2381,0.4436,0.1667,0.2174,0.7375,0.0182,0.2273,0.554,0.0328,0.4588,0.3279,1.13,0.6812,0.2043,0.442,0.067
10,2020-05-03,2023-05-03,2023-11-03,1095,184,0.2933,0.5272,0.4832,0.19,0.1111,0.6093,0.1667,0.0278,0.8519,0.1,0.0444,0.7104,0.125,0.5175,0.3397,1.0307,0.6154,0.2466,0.587,0.0467
11,2020-11-03,2023-11-03,2024-05-03,1095,182,0.3212,0.3901,0.4829,0.1617,0.3143,0.4219,0.3158,0.2683,0.7297,0.0896,0.2895,0.5347,0.1395,0.5573,0.3914,1.481,0.6765,0.1927,0.4066,0.1285
12,2021-05-03,2024-05-03,2024-11-03,1096,184,0.2552,0.3098,0.4734,0.2181,0.2,0.3387,0.275,0.0678,0.6087,0.1964,0.1013,0.4352,0.2292,0.4866,0.3199,1.338,0.7085,0.1818,0.375,0.0734
13,2021-11-03,2024-11-03,2025-05-03,1096,181,0.3851,0.4033,0.4539,0.0687,0.3421,0.4634,0.3607,0.2549,0.5135,0.3929,0.2921,0.4872,0.3761,0.5569,0.3966,1.0922,0.66,0.1935,0.4088,0.1917
14,2022-05-03,2025-05-03,2025-11-03,1096,184,0.2957,0.4185,0.434,0.1383,0.2,0.4681,0.5,0.1522,0.7416,0.0816,0.1728,0.5739,0.1404,0.5056,0.3558,1.0906,0.6583,0.2173,0.4837,0.0784
15,2022-11-03,2025-11-03,2026-01-16,1096,74,0.3645,0.3919,0.4025,0.038,0.25,0.5455,0.35,0.1304,0.4138,0.6364,0.1714,0.4706,0.4516,0.4843,0.3548,1.2718,0.7521,0.1877,0.3919,0.1768
