fold,train_start,test_start,test_end,n_train,n_test,f1_macro,accuracy,train_f1_macro,overfit_gap,precision_bearish,precision_neutral,precision_bullish,recall_bearish,recall_neutral,recall_bullish,f1_bearish,f1_neutral,f1_bullish,roc_auc_macro,pr_auc_macro,log_loss,brier_multiclass,baseline_f1_macro,baseline_accuracy,f1_lift_vs_baseline
0,2015-05-03,2018-05-03,2018-11-03,1096,184,0.2908,0.3207,0.7937,0.503,0.4138,0.7273,0.2708,0.2353,0.0964,0.78,0.3,0.1702,0.4021,0.601,0.4593,1.1052,0.6757,0.2072,0.4511,0.0835
1,2015-11-03,2018-11-03,2019-05-03,1096,181,0.3597,0.4917,0.781,0.4214,0.0,0.5676,0.3714,0.0,0.7683,0.5,0.0,0.6528,0.4262,0.5884,0.4455,1.062,0.6331,0.2079,0.453,0.1518
2,2016-05-03,2019-05-03,2019-11-03,1095,184,0.2955,0.3261,0.7777,0.4821,0.4118,0.2903,0.3953,0.1207,0.6792,0.2329,0.1867,0.4068,0.2931,0.5416,0.3899,1.1234,0.6813,0.1491,0.288,0.1464
3,2016-11-03,2019-11-03,2020-05-03,1095,182,0.3635,0.3956,0.7823,0.4188,0.38,0.4057,0.3846,0.3333,0.6232,0.1786,0.3551,0.4914,0.2439,0.5042,0.3461,1.1139,0.677,0.1833,0.3791,0.1802
4,2017-05-03,2020-05-03,2020-11-03,1096,184,0.2254,0.2554,0.8335,0.6081,0.2319,0.3182,0.3333,0.7805,0.0921,0.1194,0.3575,0.1429,0.1758,0.492,0.3359,1.167,0.7133,0.1949,0.413,0.0305
5,2017-11-03,2020-11-03,2021-05-03,1096,181,0.2945,0.3315,0.8208,0.5263,0.32,0.25,0.55,0.7018,0.1957,0.141,0.4396,0.2195,0.2245,0.5701,0.4025,1.1081,0.6735,0.1351,0.2541,0.1594
6,2018-05-03,2021-05-03,2021-11-03,1096,184,0.3307,0.3478,0.8159,0.4853,0.3,0.2889,0.4045,0.2308,0.2955,0.48,0.2609,0.2921,0.439,0.5231,0.3603,1.1034,0.6698,0.1287,0.2391,0.202
7,2018-11-03,2021-11-03,2022-05-03,1096,181,0.2423,0.3149,0.8145,0.5723,0.0,0.3191,0.3256,0.0,0.2344,0.7636,0.0,0.2703,0.4565,0.486,0.3391,1.165,0.7119,0.1741,0.3536,0.0681
8,2019-05-03,2022-05-03,2022-11-03,1096,184,0.2092,0.2989,0.8517,0.6425,0.0,0.3913,0.2875,0.0,0.1304,0.8679,0.0,0.1957,0.4319,0.4952,0.3334,1.1502,0.7008,0.1818,0.375,0.0274
9,2019-11-03,2022-11-03,2023-05-03,1096,181,0.3651,0.4365,0.8361,0.471,0.2667,0.5088,0.4091,0.2609,0.725,0.1636,0.2637,0.5979,0.2338,0.5422,0.4076,1.0901,0.656,0.2043,0.442,0.1608
10,2020-05-03,2023-05-03,2023-11-03,1095,184,0.2787,0.2989,0.8473,0.5687,0.4167,0.6316,0.194,0.1389,0.2222,0.65,0.2083,0.3288,0.2989,0.5404,0.3933,1.1113,0.681,0.2466,0.587,0.0321
11,2020-11-03,2023-11-03,2024-05-03,1095,182,0.3002,0.3791,0.8573,0.557,0.3043,0.4324,0.0,0.5122,0.6486,0.0,0.3818,0.5189,0.0,0.539,0.362,1.1267,0.6828,0.1927,0.4066,0.1075
12,2021-05-03,2024-05-03,2024-11-03,1096,184,0.2632,0.3696,0.8605,0.5973,0.0,0.3716,0.3611,0.0,0.7971,0.2321,0.0,0.5069,0.2826,0.5338,0.3825,1.1559,0.6966,0.1818,0.375,0.0814
13,2021-11-03,2024-11-03,2025-05-03,1096,181,0.3557,0.3702,0.8268,0.4711,0.3125,0.4561,0.3929,0.5882,0.3514,0.1964,0.4082,0.3969,0.2619,0.5801,0.4213,1.0893,0.661,0.1935,0.4088,0.1622
14,2022-05-03,2025-05-03,2025-11-03,1096,184,0.317,0.3533,0.8007,0.4837,0.2588,0.4405,0.4,0.4783,0.4157,0.1224,0.3359,0.4277,0.1875,0.4807,0.3586,1.1043,0.671,0.2173,0.4837,0.0997
15,2022-11-03,2025-11-03,2026-01-16,1096,74,0.3379,0.4459,0.7155,0.3776,0.0,0.5111,0.3448,0.0,0.7931,0.4545,0.0,0.6216,0.3922,0.5783,0.4247,1.0937,0.6578,0.1877,0.3919,0.1502
