fold,train_start,test_start,test_end,n_train,n_test,f1_macro,accuracy,train_f1_macro,overfit_gap,precision_bearish,precision_neutral,precision_bullish,recall_bearish,recall_neutral,recall_bullish,f1_bearish,f1_neutral,f1_bullish,roc_auc_macro,pr_auc_macro,log_loss,brier_multiclass,baseline_f1_macro,baseline_accuracy,f1_lift_vs_baseline
0,2015-05-03,2018-05-03,2018-11-03,1096,184,0.1688,0.2826,0.5247,0.3559,1.0,0.0,0.2747,0.0392,0.0,1.0,0.0755,0.0,0.431,0.618,0.4743,1.2529,0.7539,0.2072,0.4511,-0.0384
1,2015-11-03,2018-11-03,2019-05-03,1096,181,0.2846,0.4807,0.5627,0.2782,0.0,0.4848,0.4375,0.0,0.9756,0.1346,0.0,0.6478,0.2059,0.6544,0.4863,1.0339,0.6174,0.2079,0.453,0.0767
2,2016-05-03,2019-05-03,2019-11-03,1095,184,0.4306,0.4348,0.578,0.1474,0.3934,0.4762,0.4444,0.4138,0.3774,0.4932,0.4034,0.4211,0.4675,0.5888,0.4213,1.0733,0.6497,0.1491,0.288,0.2816
3,2016-11-03,2019-11-03,2020-05-03,1095,182,0.3147,0.4011,0.584,0.2693,0.0,0.4216,0.375,0.0,0.6232,0.5357,0.0,0.5029,0.4412,0.5563,0.3865,1.0885,0.6598,0.1833,0.3791,0.1314
4,2017-05-03,2020-05-03,2020-11-03,1096,184,0.4065,0.4076,0.578,0.1714,0.2625,0.5882,0.4528,0.5122,0.3947,0.3582,0.3471,0.4724,0.4,0.5963,0.4189,1.086,0.6573,0.1949,0.413,0.2116
5,2017-11-03,2020-11-03,2021-05-03,1096,181,0.2128,0.3315,0.5691,0.3563,0.3133,0.0,0.5333,0.9123,0.0,0.1026,0.4664,0.0,0.172,0.5563,0.3923,1.0996,0.6695,0.1351,0.2541,0.0777
6,2018-05-03,2021-05-03,2021-11-03,1096,184,0.2644,0.375,0.5488,0.2845,0.3091,0.0,0.4031,0.2615,0.0,0.6933,0.2833,0.0,0.5098,0.5088,0.3491,1.08,0.6553,0.1287,0.2391,0.1357
7,2018-11-03,2021-11-03,2022-05-03,1096,181,0.156,0.3039,0.5228,0.3667,0.0,0.0,0.3056,0.0,0.0,1.0,0.0,0.0,0.4681,0.5119,0.3474,1.1303,0.6867,0.1741,0.3536,-0.0181
8,2019-05-03,2022-05-03,2022-11-03,1096,184,0.2032,0.2989,0.5672,0.364,1.0,0.3529,0.2892,0.0161,0.087,0.9057,0.0317,0.1395,0.4384,0.5187,0.3601,1.1133,0.6771,0.1818,0.375,0.0214
9,2019-11-03,2022-11-03,2023-05-03,1096,181,0.274,0.4641,0.582,0.308,0.5,0.4615,0.5,0.0217,0.975,0.0909,0.0417,0.6265,0.1538,0.5657,0.4075,1.0684,0.6454,0.2043,0.442,0.0697
10,2020-05-03,2023-05-03,2023-11-03,1095,184,0.2587,0.5761,0.5749,0.3162,0.0,0.5866,0.2,0.0,0.9722,0.025,0.0,0.7317,0.0444,0.5525,0.3924,1.0038,0.5999,0.2466,0.587,0.0121
11,2020-11-03,2023-11-03,2024-05-03,1095,182,0.2079,0.4066,0.5669,0.359,0.25,0.4101,0.0,0.0244,0.9865,0.0,0.0444,0.5794,0.0,0.5638,0.4037,1.1027,0.6661,0.1927,0.4066,0.0152
12,2021-05-03,2024-05-03,2024-11-03,1096,184,0.2518,0.3641,0.5702,0.3184,0.0,0.3758,0.3143,0.0,0.8116,0.1964,0.0,0.5138,0.2418,0.5083,0.3806,1.1045,0.6699,0.1818,0.375,0.07
13,2021-11-03,2024-11-03,2025-05-03,1096,181,0.3306,0.3702,0.4799,0.1493,0.3165,0.6087,0.4737,0.8627,0.1892,0.1607,0.4632,0.2887,0.24,0.5728,0.4067,1.0925,0.6629,0.1935,0.4088,0.1371
14,2022-05-03,2025-05-03,2025-11-03,1096,184,0.2564,0.4728,0.404,0.1475,0.0,0.4826,0.3636,0.0,0.9326,0.0816,0.0,0.636,0.1333,0.5049,0.3535,1.0643,0.6428,0.2173,0.4837,0.0391
15,2022-11-03,2025-11-03,2026-01-16,1096,74,0.3553,0.473,0.346,-0.0094,0.0,0.5208,0.3846,0.0,0.8621,0.4545,0.0,0.6494,0.4167,0.5579,0.4544,1.0841,0.6531,0.1877,0.3919,0.1676
