fold,train_start,test_start,test_end,n_train,n_test,f1_macro,accuracy,train_f1_macro,overfit_gap,precision_bearish,precision_neutral,precision_bullish,recall_bearish,recall_neutral,recall_bullish,f1_bearish,f1_neutral,f1_bullish,roc_auc_macro,pr_auc_macro,log_loss,brier_multiclass,baseline_f1_macro,baseline_accuracy,f1_lift_vs_baseline
0,2015-05-03,2018-05-03,2018-11-03,1096,184,0.3234,0.413,0.1834,-0.14,0.4,0.4478,0.2857,0.1176,0.7229,0.2,0.1818,0.553,0.2353,0.5089,0.3383,21.1561,1.1739,0.2072,0.4511,0.1161
1,2015-11-03,2018-11-03,2019-05-03,1096,181,0.3101,0.3591,0.2271,-0.083,0.1875,0.451,0.3226,0.1915,0.561,0.1923,0.1895,0.5,0.241,0.4875,0.3306,23.0998,1.2818,0.2079,0.453,0.1023
2,2016-05-03,2019-05-03,2019-11-03,1095,184,0.2825,0.3261,0.2307,-0.0517,0.2424,0.2778,0.3652,0.1379,0.1887,0.5753,0.1758,0.2247,0.4468,0.4746,0.3233,24.2903,1.3478,0.1491,0.288,0.1334
3,2016-11-03,2019-11-03,2020-05-03,1095,182,0.3115,0.3187,0.2953,-0.0162,0.2667,0.4308,0.25,0.2105,0.4058,0.3214,0.2353,0.4179,0.2812,0.4863,0.3309,24.5572,1.3626,0.1833,0.3791,0.1282
4,2017-05-03,2020-05-03,2020-11-03,1096,184,0.376,0.3967,0.1763,-0.1997,0.275,0.4353,0.4237,0.2683,0.4868,0.3731,0.2716,0.4596,0.3968,0.5317,0.349,21.7437,1.2065,0.1949,0.413,0.1811
5,2017-11-03,2020-11-03,2021-05-03,1096,181,0.3168,0.337,0.2669,-0.0499,0.3478,0.2637,0.4328,0.1404,0.5217,0.3718,0.2,0.3504,0.4,0.5079,0.3368,23.8963,1.326,0.1351,0.2541,0.1817
6,2018-05-03,2021-05-03,2021-11-03,1096,184,0.2304,0.2391,0.329,0.0987,0.36,0.2,0.1724,0.2769,0.4773,0.0667,0.313,0.2819,0.0962,0.4553,0.3225,27.4245,1.5217,0.1287,0.2391,0.1017
7,2018-11-03,2021-11-03,2022-05-03,1096,181,0.2812,0.2873,0.2498,-0.0313,0.2892,0.275,0.2931,0.3871,0.1719,0.3091,0.331,0.2115,0.3009,0.4665,0.3208,25.6886,1.4254,0.1741,0.3536,0.107
8,2019-05-03,2022-05-03,2022-11-03,1096,184,0.3733,0.375,0.3225,-0.0508,0.375,0.4727,0.3086,0.2903,0.3768,0.4717,0.3273,0.4194,0.3731,0.5355,0.3525,22.5273,1.25,0.1818,0.375,0.1914
9,2019-11-03,2022-11-03,2023-05-03,1096,181,0.2983,0.2983,0.2844,-0.0139,0.2778,0.3962,0.2432,0.3261,0.2625,0.3273,0.3,0.3158,0.2791,0.4794,0.3257,25.095,1.395,0.2043,0.442,0.0939
10,2020-05-03,2023-05-03,2023-11-03,1095,184,0.3516,0.413,0.2049,-0.1467,0.2162,0.6667,0.2121,0.2222,0.5,0.35,0.2192,0.5714,0.2642,0.5267,0.3475,21.1561,1.1739,0.2466,0.587,0.105
11,2020-11-03,2023-11-03,2024-05-03,1095,182,0.2878,0.3022,0.2119,-0.0759,0.1905,0.4074,0.2907,0.1951,0.2973,0.3731,0.1928,0.3438,0.3268,0.4663,0.3215,25.1513,1.3956,0.1927,0.4066,0.0951
12,2021-05-03,2024-05-03,2024-11-03,1096,184,0.3523,0.3913,0.2231,-0.1292,0.3684,0.4158,0.3594,0.1186,0.6087,0.4107,0.1795,0.4941,0.3833,0.5348,0.351,21.9396,1.2174,0.1818,0.375,0.1705
13,2021-11-03,2024-11-03,2025-05-03,1096,181,0.3494,0.3757,0.2083,-0.1411,0.2791,0.3981,0.4286,0.2353,0.5541,0.2679,0.2553,0.4633,0.3297,0.5132,0.3418,22.5024,1.2486,0.1935,0.4088,0.156
14,2022-05-03,2025-05-03,2025-11-03,1096,184,0.3067,0.3315,0.2345,-0.0722,0.2727,0.439,0.2319,0.1957,0.4045,0.3265,0.2278,0.4211,0.2712,0.4793,0.325,24.0944,1.337,0.2173,0.4837,0.0894
15,2022-11-03,2025-11-03,2026-01-16,1096,74,0.3527,0.3784,0.3311,-0.0215,0.25,0.5,0.3,0.2174,0.5862,0.2727,0.2326,0.5397,0.2857,0.5225,0.3503,22.4055,1.2432,0.1877,0.3919,0.1649
