fold,train_start,test_start,test_end,n_train,n_test,f1_macro,accuracy,train_f1_macro,overfit_gap,precision_bearish,precision_neutral,precision_bullish,recall_bearish,recall_neutral,recall_bullish,f1_bearish,f1_neutral,f1_bullish,roc_auc_macro,pr_auc_macro,log_loss,brier_multiclass,baseline_f1_macro,baseline_accuracy,f1_lift_vs_baseline
0,2015-05-03,2018-05-03,2018-11-03,1096,184,0.1648,0.2174,0.5404,0.3756,0.1628,0.0,0.234,0.1373,0.0,0.66,0.1489,0.0,0.3455,,,,,0.2072,0.4511,-0.0424
1,2015-11-03,2018-11-03,2019-05-03,1096,181,0.3266,0.3646,0.596,0.2695,0.1579,0.4639,0.4444,0.1915,0.5488,0.2308,0.1731,0.5028,0.3038,,,,,0.2079,0.453,0.1187
2,2016-05-03,2019-05-03,2019-11-03,1095,184,0.338,0.3478,0.5871,0.2491,0.3,0.5312,0.3438,0.6207,0.3208,0.1507,0.4045,0.4,0.2095,,,,,0.1491,0.288,0.1889
3,2016-11-03,2019-11-03,2020-05-03,1095,182,0.3053,0.3242,0.5817,0.2764,0.4444,0.3372,0.2821,0.1404,0.4203,0.3929,0.2133,0.3742,0.3284,,,,,0.1833,0.3791,0.122
4,2017-05-03,2020-05-03,2020-11-03,1096,184,0.3216,0.3533,0.5731,0.2514,0.1622,0.4407,0.375,0.1463,0.3421,0.4925,0.1538,0.3852,0.4258,,,,,0.1949,0.413,0.1267
5,2017-11-03,2020-11-03,2021-05-03,1096,181,0.2236,0.2707,0.566,0.3424,0.3077,0.2558,0.0,0.2807,0.7174,0.0,0.2936,0.3771,0.0,,,,,0.1351,0.2541,0.0885
6,2018-05-03,2021-05-03,2021-11-03,1096,184,0.3619,0.3913,0.5314,0.1695,0.4,0.325,0.4524,0.1231,0.5909,0.5067,0.1882,0.4194,0.478,,,,,0.1287,0.2391,0.2332
7,2018-11-03,2021-11-03,2022-05-03,1096,181,0.3053,0.3702,0.5337,0.2284,0.7143,0.4815,0.3333,0.0806,0.2031,0.8909,0.1449,0.2857,0.4851,,,,,0.1741,0.3536,0.1311
8,2019-05-03,2022-05-03,2022-11-03,1096,184,0.2919,0.3424,0.5152,0.2233,0.3182,0.3913,0.234,0.1129,0.6522,0.2075,0.1667,0.4891,0.22,,,,,0.1818,0.375,0.1101
9,2019-11-03,2022-11-03,2023-05-03,1096,181,0.3467,0.4033,0.501,0.1543,0.2353,0.7143,0.3411,0.087,0.3125,0.8,0.127,0.4348,0.4783,,,,,0.2043,0.442,0.1423
10,2020-05-03,2023-05-03,2023-11-03,1095,184,0.2448,0.2935,0.5432,0.2984,0.1429,0.5532,0.2114,0.0556,0.2407,0.65,0.08,0.3355,0.319,,,,,0.2466,0.587,-0.0017
11,2020-11-03,2023-11-03,2024-05-03,1095,182,0.2338,0.2637,0.5202,0.2864,0.2248,0.3488,0.4,0.7073,0.2027,0.0597,0.3412,0.2564,0.1039,,,,,0.1927,0.4066,0.0411
12,2021-05-03,2024-05-03,2024-11-03,1096,184,0.2134,0.3478,0.4992,0.2858,0.0,0.362,0.25,0.0,0.8551,0.0893,0.0,0.5086,0.1316,,,,,0.1818,0.375,0.0316
13,2021-11-03,2024-11-03,2025-05-03,1096,181,0.2876,0.3094,0.5077,0.2201,0.3009,0.3235,0.3235,0.6667,0.1486,0.1964,0.4146,0.2037,0.2444,,,,,0.1935,0.4088,0.0941
14,2022-05-03,2025-05-03,2025-11-03,1096,184,0.2516,0.4783,0.3742,0.1226,0.25,0.4942,0.0,0.0652,0.9551,0.0,0.1034,0.6513,0.0,,,,,0.2173,0.4837,0.0343
15,2022-11-03,2025-11-03,2026-01-16,1096,74,0.2964,0.4189,0.4204,0.1239,0.25,0.4821,0.2,0.087,0.931,0.0909,0.129,0.6353,0.125,,,,,0.1877,0.3919,0.1087
