fold,train_start,test_start,test_end,n_train,n_test,f1_macro,accuracy,train_f1_macro,overfit_gap,precision_bearish,precision_neutral,precision_bullish,recall_bearish,recall_neutral,recall_bullish,f1_bearish,f1_neutral,f1_bullish,roc_auc_macro,pr_auc_macro,log_loss,brier_multiclass,baseline_f1_macro,baseline_accuracy,f1_lift_vs_baseline
0,2015-05-03,2018-05-03,2018-11-03,1096,184,0.2417,0.3098,0.9238,0.6822,0.5556,0.0,0.2831,0.1961,0.0,0.94,0.2899,0.0,0.4352,0.525,0.3837,1.4925,0.8867,0.2072,0.4511,0.0344
1,2015-11-03,2018-11-03,2019-05-03,1096,181,0.3427,0.4917,0.9182,0.5754,0.0,0.5645,0.3333,0.0,0.8537,0.3654,0.0,0.6796,0.3486,0.6223,0.4391,1.1289,0.6602,0.2079,0.453,0.1349
2,2016-05-03,2019-05-03,2019-11-03,1095,184,0.3532,0.3533,0.9102,0.557,0.3226,0.3429,0.4038,0.3448,0.4528,0.2877,0.3333,0.3902,0.336,0.5438,0.3773,1.1647,0.7107,0.1491,0.288,0.2041
3,2016-11-03,2019-11-03,2020-05-03,1095,182,0.3318,0.3901,0.9201,0.5883,0.3077,0.4016,0.4138,0.1404,0.7391,0.2143,0.1928,0.5204,0.2824,0.5283,0.3848,1.1855,0.7155,0.1833,0.3791,0.1486
4,2017-05-03,2020-05-03,2020-11-03,1096,184,0.453,0.4565,0.9155,0.4625,0.2989,0.5902,0.6111,0.6341,0.4737,0.3284,0.4062,0.5255,0.4272,0.6295,0.4713,1.1075,0.6626,0.1949,0.413,0.2581
5,2017-11-03,2020-11-03,2021-05-03,1096,181,0.2264,0.2762,0.9171,0.6908,0.2143,0.2639,0.6667,0.1053,0.8261,0.0769,0.1412,0.4,0.1379,0.4757,0.3349,1.4448,0.8661,0.1351,0.2541,0.0913
6,2018-05-03,2021-05-03,2021-11-03,1096,184,0.2946,0.3478,0.9179,0.6233,0.3117,0.1875,0.4066,0.3692,0.0682,0.4933,0.338,0.1,0.4458,0.5151,0.3511,1.2571,0.7649,0.1287,0.2391,0.1659
7,2018-11-03,2021-11-03,2022-05-03,1096,181,0.2847,0.3481,0.9116,0.6268,0.4231,0.625,0.3197,0.1774,0.0781,0.8545,0.25,0.1389,0.4653,0.4977,0.359,1.2745,0.7779,0.1741,0.3536,0.1106
8,2019-05-03,2022-05-03,2022-11-03,1096,184,0.2608,0.3315,0.9051,0.6442,0.0,0.386,0.3071,0.0,0.3188,0.7358,0.0,0.3492,0.4333,0.54,0.3743,1.3017,0.7696,0.1818,0.375,0.079
9,2019-11-03,2022-11-03,2023-05-03,1096,181,0.2623,0.2762,0.9034,0.6411,0.2391,0.375,0.2121,0.4783,0.2625,0.1273,0.3188,0.3088,0.1591,0.4608,0.3181,1.2409,0.7577,0.2043,0.442,0.0579
10,2020-05-03,2023-05-03,2023-11-03,1095,184,0.3334,0.4293,0.9096,0.5762,0.1667,0.6556,0.2237,0.0833,0.5463,0.425,0.1111,0.596,0.2931,0.5568,0.3969,1.0768,0.6535,0.2466,0.587,0.0868
11,2020-11-03,2023-11-03,2024-05-03,1095,182,0.2492,0.2857,0.8892,0.64,0.1875,0.3465,0.2941,0.2927,0.473,0.0746,0.2286,0.4,0.119,0.482,0.3413,1.3007,0.772,0.1927,0.4066,0.0565
12,2021-05-03,2024-05-03,2024-11-03,1096,184,0.3618,0.375,0.9096,0.5478,0.3636,0.4516,0.3571,0.339,0.2029,0.625,0.3509,0.28,0.4545,0.5717,0.4164,1.1317,0.6802,0.1818,0.375,0.18
13,2021-11-03,2024-11-03,2025-05-03,1096,181,0.3532,0.3867,0.9278,0.5746,0.3099,0.4545,0.3636,0.4314,0.5405,0.1429,0.3607,0.4938,0.2051,0.5381,0.372,1.1586,0.7016,0.1935,0.4088,0.1597
14,2022-05-03,2025-05-03,2025-11-03,1096,184,0.2837,0.3043,0.9304,0.6468,0.2479,0.4545,0.3043,0.6304,0.2247,0.1429,0.3558,0.3008,0.1944,0.4908,0.3386,1.2564,0.7711,0.2173,0.4837,0.0663
15,2022-11-03,2025-11-03,2026-01-16,1096,74,0.3729,0.4054,0.9359,0.563,0.375,0.5455,0.3409,0.1304,0.4138,0.6818,0.1935,0.4706,0.4545,0.5729,0.4264,1.1847,0.7058,0.1877,0.3919,0.1852
